"Date","T_treatment","GPP","GPP_SE","Ra","Ra_SE","LA","LA_SE","Tair_SE","LM","LM_SE","WM","WM_SE","RM","RM_SE","litter","litter_SE","tnc.conc","tnc.conc_SE","BMratio","SMratio","BMratio_SE","SMratio_SE","FRratio","IRratio","CRratio","BRratio","FRratio_SE","IRratio_SE","CRratio_SE","BRratio_SE","Rd.foliage.mean","Rd.stem.mean","Rd.branch.mean","Rd.fineroot.mean","Rd.intermediateroot.mean","Rd.coarseroot.mean","Rd.boleroot.mean","Treatment","treatment.no","Tair"
2012-12-12,"ambient",0.0203513624652,1.39053658150241e-05,NA,NA,0.0504950859563253,0.00206393725710649,0.49948031121982,0.515217836140808,0.0304376199529605,0.242052418060041,0.00366926478062647,0.192179693080053,0.0104093525387628,1e-04,1e-05,30,2,0.85948018492507,0.14051981507493,0.0449768701584691,0.0449768701584691,0.580759933273847,0.419240066726153,0,0,0.0240194487510714,0.0240194487510714,0,0,0.00640176185629211,0.00110322645364489,0.0022361683847116,0.00735181457190739,0.00402992896591629,0.00220902299853813,0.001089834122224,"ambient",1,18.8669753637566
2012-12-13,"ambient",0.0271482416166,2.53047976733097e-05,NA,NA,0.0561584996124015,0.00239845063185015,0.763951813242745,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.858696483644369,0.141303516355631,0.0450714716827572,0.0450714716827572,0.579893679877396,0.418900347980043,0.000539409623893279,0.000666520390195331,0.0239941302308355,0.0239908316126523,4.69031617429149e-05,4.03074580109548e-05,0.0068163998763719,0.00128533105524432,0.00260528258738664,0.00782320658836427,0.00428832453925955,0.00235066365003927,0.00115971334720361,"ambient",1,19.0700869708995
2012-12-14,"ambient",0.0242846265012,1.40759664981985e-05,NA,NA,0.0618219132684776,0.00279655988397205,0.670369635264,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.857912782363668,0.142087217636332,0.0451660732070453,0.0451660732070453,0.579027426480945,0.418560629233933,0.00107881924778656,0.00133304078039066,0.0239688117105995,0.0239622144742332,9.38063234858299e-05,8.06149160219096e-05,0.00673560407112697,0.00132931481537196,0.00269443481312707,0.0080175868932266,0.00439487494437472,0.00240906971560362,0.00118852831347558,"ambient",1,19.5902043650794
2012-12-15,"ambient",0.022231085058,1.97472739796471e-05,NA,NA,0.0674853269245538,0.00323486974311647,0.37672043492204,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.857129081082967,0.142870918917033,0.0452606747313333,0.0452606747313333,0.578161173084494,0.418220910487822,0.00161822887167984,0.00199956117058599,0.0239434931903635,0.0239335973358141,0.000140709485228745,0.000120922374032864,0.00655203996220887,0.00135102074747036,0.00273843132803911,0.00822145368910624,0.00450662541058523,0.00247032621715594,0.00121874955863417,"ambient",1,20.0611711309524
2012-12-16,"ambient",0.0296575891248,2.10776636311838e-05,NA,NA,0.07314874058063,0.00369911754940125,0.853627517743353,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.856345379802267,0.143654620197733,0.0453552762556214,0.0453552762556214,0.577294919688043,0.417881191741712,0.00215763849557312,0.00266608156078132,0.0239181746701275,0.023904980197395,0.00018761264697166,0.000161229832043819,0.00829329245656409,0.00196764298264111,0.00398828455902669,0.00967752230828791,0.00530477572400909,0.0029078357647325,0.0014345973945613,"ambient",1,20.1284406415344
2012-12-17,"ambient",0.0236678290134,2.50657686294913e-05,NA,NA,0.0788121542367061,0.00418067128015532,0.115039223696442,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.855561678521566,0.144438321478434,0.0454498777799095,0.0454498777799095,0.576428666291591,0.417541472995602,0.0026970481194664,0.00333260195097666,0.0238928561498915,0.0238763630589758,0.000234515808714575,0.000201537290054774,0.00464174564904548,0.000978578141417493,0.00198351434973114,0.00700151214826164,0.00383790917677811,0.00210376652033015,0.001037905237096,"ambient",1,20.9798576980046
2012-12-18,"ambient",0.0468328661034,3.47176716092856e-05,NA,NA,0.0844755678927823,0.00467418521030265,0.701339903770305,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.854777977240865,0.145222022759135,0.0455444793041976,0.0455444793041976,0.57556241289514,0.417201754249492,0.00323645774335967,0.00399912234117199,0.0238675376296556,0.0238477459205567,0.00028141897045749,0.000241844748065729,0.00624331811251979,0.00139015526867201,0.00281775446135669,0.00790845426792747,0.00433505342364431,0.00237627829019174,0.00117235047632591,"ambient",1,21.3965948011792
2012-12-19,"ambient",0.0438837107826,3.55436093091319e-05,NA,NA,0.0901389815488585,0.00517623953529759,0.439051229134818,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.853994275960164,0.146005724039836,0.0456390808284857,0.0456390808284857,0.574696159498689,0.416862035503382,0.00377586736725295,0.00466564273136732,0.0238422191094196,0.0238191287821376,0.000328322132200405,0.000282152206076683,0.00696752674264711,0.00145297880770951,0.00294509369560656,0.00843059003834399,0.00462126440526822,0.00253316607808793,0.00124975196319257,"ambient",1,22.0255761173168
2012-12-20,"ambient",0.0399559236258,3.94537246432859e-05,NA,NA,0.0958023952049346,0.00568457187415313,0.715159650717627,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.853210574679463,0.146789425320536,0.0457336823527738,0.0457336823527738,0.573829906102238,0.416522316757272,0.00431527699114623,0.00533216312156265,0.0238169005891836,0.0237905116437185,0.00037522529394332,0.000322459664087638,0.00757402785722797,0.00184284819101292,0.0037353336198123,0.00933728630573116,0.00511827388714417,0.00280560397593705,0.0013841607572429,"ambient",1,22.5294063091157
2012-12-21,"ambient",0.0380649590178,3.30359302280148e-05,NA,NA,0.101465808861011,0.00619763764487059,0.228014250788739,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.852426873398763,0.147573126601237,0.0458282838770618,0.0458282838770618,0.572963652705787,0.416182598011161,0.00485468661503951,0.00599868351175798,0.0237915820689476,0.0237618945052994,0.000422128455686234,0.000362767122098593,0.00509059813357683,0.00113306710260583,0.00229665344248489,0.00806534639795648,0.00442105452352844,0.00242342016518517,0.00119560818979809,"ambient",1,23.1724686437718
